timestamp,open,high,low,close,volume,is_closed,RSI,MACD,MACD_Signal,MACD_Histogram,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Position,ATR,Stoch_K,Stoch_D,Williams_R,CCI,VWAP,Volume_RSI,OBV,Momentum,ROC,RSI_Oversold,RSI_Overbought,MACD_Bullish,MACD_Bearish,BB_Squeeze,BB_Breakout_Upper,BB_Breakout_Lower
2025-09-17T08:02:33.513652,45300.0,45360.0,45250.0,45250.0,1800,True,,,,,,,,,,0.0,,,,,,,1800,,,False,False,False,False,False,False,False
2025-09-17T09:02:33.513648,45200.0,45290.0,45155.0,45250.0,1700,True,,,,,,,,,,0.0,,,,,,,3500,,,False,False,False,False,False,False,False
2025-09-17T10:02:33.513646,45100.0,45120.0,45070.0,45100.0,1600,True,,,,,,,,,,0.0,,,,,,,1900,,,False,False,False,False,False,False,False
2025-09-17T11:02:33.513643,45000.0,45000.0,44935.0,44950.0,1500,True,,,,,,,,,,0.0,,,,,,,400,,,False,False,False,False,False,False,False
2025-09-17T12:02:33.513640,44900.0,45030.0,44900.0,44950.0,1400,True,,,,,,,,,,0.0,,,,,,,1800,,,False,False,False,False,False,False,False
2025-09-17T13:02:33.513637,44800.0,44860.0,44755.0,44800.0,1300,True,,,,,,,,,,0.0,,,,,,,500,,,False,False,False,False,False,False,False
2025-09-17T14:02:33.513634,44700.0,44740.0,44620.0,44650.0,1200,True,,,,,,,,,,0.0,,,,,,,-700,,,False,False,False,False,False,False,False
2025-09-17T15:02:33.513631,44600.0,44670.0,44585.0,44650.0,1100,True,,,,,,,,,,0.0,,,,,,,400,,,False,False,False,False,False,False,False
2025-09-17T16:02:33.513628,44500.0,44500.0,44500.0,44500.0,1000,True,,,,,,,,,,0.0,,,,,,,-600,,,False,False,False,False,False,False,False
2025-09-17T17:02:33.513625,45400.0,45480.0,45305.0,45350.0,2900,True,,,,,,,,,,0.0,,,,,,,2300,,,False,False,False,False,False,False,False
2025-09-17T18:02:33.513622,45300.0,45410.0,45270.0,45350.0,2800,True,,,,,,,,,,0.0,,,,,,,5100,100.0,,False,False,False,False,False,False,False
2025-09-17T19:02:33.513619,45200.0,45240.0,45185.0,45200.0,2700,True,,,,,,,,,,0.0,,,,,,,2400,-50.0,,False,False,False,False,False,False,False
2025-09-17T20:02:33.513616,45100.0,45120.0,45050.0,45050.0,2600,True,,,,,,,,,,0.0,,,,,,,-200,-50.0,-0.44198895027624313,False,False,False,False,False,False,False
2025-09-17T21:02:33.513613,45000.0,45050.0,44955.0,45050.0,2500,True,,,,,,,,,,0.0,56.12244897959184,,-43.87755102040816,,45086.49425287356,64.09160950791151,2300,100.0,-0.44198895027624313,False,False,False,False,False,False,False
2025-09-17T22:02:33.513610,44900.0,44980.0,44870.0,44900.0,2400,True,,,,,,,,,,0.0,40.816326530612244,,-59.183673469387756,,45057.734082397,61.10585681962253,-100,-50.0,-0.4434589800443459,False,False,False,False,False,False,False
2025-09-17T23:02:33.513607,44800.0,44860.0,44735.0,44750.0,2300,True,,,,,,,,,,0.0,25.510204081632654,40.816326530612244,-74.48979591836735,,45023.64468864469,58.18667671224766,-2400,-50.0,-0.44493882091212456,False,False,False,False,False,False,False
2025-09-18T00:02:33.513604,44700.0,44790.0,44700.0,44750.0,2200,True,,,,,,,,,,0.0,25.510204081632654,30.612244897959187,-74.48979591836735,,44997.6164874552,55.33960260109293,-200,100.0,-0.44493882091212456,False,False,False,False,False,False,False
2025-09-18T01:02:33.513601,44600.0,44620.0,44555.0,44600.0,2100,True,,,,,,,,,,0.0,10.204081632653061,20.408163265306126,-89.79591836734694,,44969.59649122807,52.56951276402874,-2300,-50.0,-0.4464285714285714,False,False,False,False,False,False,False
2025-09-18T02:02:33.513598,44500.0,44500.0,44420.0,44450.0,2000,True,,,,,,,,,,0.0,2.830188679245283,12.848158131177001,-97.16981132075472,,44934.80526918671,49.88061493743039,-4300,-50.0,-0.4479283314669653,False,False,False,False,False,False,False
2025-09-18T03:02:33.513595,45400.0,45530.0,45385.0,45450.0,1900,True,,,,,,,,,,0.0,92.7927927927928,35.27568770156372,-7.207207207207207,133.15549627653726,44973.765432098764,47.27644203073077,-2400,100.0,1.7917133258678613,False,False,False,False,False,False,False
2025-09-18T04:02:33.513592,45300.0,45360.0,45300.0,45300.0,1800,True,54.654038606697334,,,,,,,,,233.33333333333334,79.27927927927928,58.30075358377246,-20.72072072072072,96.12197547232317,45006.36413641364,44.75985819531264,-4200,-50.0,1.7977528089887642,False,False,False,False,False,False,False
2025-09-18T05:02:33.513589,45200.0,45240.0,45105.0,45150.0,1700,True,51.59001108287518,,,,,,,,,231.50793650793653,65.76576576576576,79.2792792792793,-34.234234234234236,56.5805658056586,45028.3117583603,42.33307426784535,-5900,-50.0,-0.4410143329658214,False,False,False,False,False,False,False
2025-09-18T06:02:33.513586,45100.0,45170.0,45070.0,45150.0,1600,True,51.59001108287518,,,,,,,,,225.2456538170824,65.76576576576576,70.27027027027027,-34.234234234234236,46.45993108814163,45050.24867724867,39.9976714491399,-4300,100.0,-0.4410143329658214,False,False,False,False,False,False,False
2025-09-18T07:02:33.513583,45000.0,45000.0,44985.0,45000.0,1500,True,48.58692087256707,,,,,,,,,222.3768131591261,52.252252252252255,61.26126126126127,-47.747747747747745,9.9436526350679,45015.88593576965,37.754631977243,-5800,-50.0,-0.4424778761061947,False,False,False,False,False,False,False
2025-09-18T08:02:33.513580,44900.0,44980.0,44850.0,44850.0,1400,True,45.78828477587842,,,,,,,,,218.93029824678675,38.73873873873874,52.252252252252255,-61.26126126126126,-15.935385287055798,44977.961672473866,35.60437550497596,-7200,-50.0,-0.4439511653718091,False,False,False,False,False,False,False
2025-09-18T09:02:33.513577,44800.0,44910.0,44755.0,44850.0,1300,True,45.78828477587841,-33.23777572516701,,,,,,,,215.88599833027308,38.73873873873874,43.24324324324325,-61.26126126126126,-30.98220171390891,44948.52869352869,33.546799892287325,-5900,100.0,-0.4439511653718091,False,False,False,False,False,False,False
2025-09-18T10:02:33.513574,44700.0,44740.0,44670.0,44700.0,1200,True,43.05414554176672,-52.7038286256502,,,,,,,,214.17714126692675,25.225225225225227,34.23423423423424,-74.77477477477477,-67.46295067462864,44924.63963963963,31.581325165821497,-7100,-50.0,-0.4454342984409799,False,False,False,False,False,False,False
2025-09-18T11:02:33.513571,44600.0,44620.0,44535.0,44550.0,1100,True,40.513988587162615,-79.32020820722391,,,,,,,,211.83537263516834,11.711711711711711,25.22522522522523,-88.28828828828829,-101.06963545077528,44899.08163265306,29.706939474222963,-8200,-50.0,-0.44692737430167595,False,False,False,False,False,False,False
2025-09-18T12:02:33.513568,44500.0,44550.0,44500.0,44550.0,1000,True,40.513988587162615,-99.26956305652129,,,,,,,,204.12892631920792,11.711711711711711,16.21621621621622,-88.28828828828829,-111.40408701384285,44881.42135642136,27.922245969743713,-7200,100.0,-0.44692737430167595,False,False,False,False,False,False,False
2025-09-18T13:02:33.513565,45400.0,45480.0,45355.0,45400.0,2900,True,56.53504303525082,-45.96185459877597,,,45530.22983951764,44950.0,44369.77016048236,1160.4596790352807,0.8877773679944626,238.6942155421028,88.28828828828829,37.23723723723724,-11.711711711711711,118.96965728006906,44955.984528832625,67.66741892485571,-4300,-50.0,1.7937219730941705,False,False,False,False,False,False,False
